latitude,longitude,station_info
41.85182,-87.745336,"('Cicero', 'Pink Line')"
41.853839,-87.714842,"('Central Park', 'Pink Line')"
41.778943,-87.644244,"('Halsted/63rd', 'Green Line')"
41.984246,-87.838028,"('Cumberland', 'Blue Line')"
41.87592,-87.659458,"('Racine', 'Blue Line')"
41.943623,-87.670907,"('Paulina', 'Brown Line')"
41.857908,-87.669147,"('18th', 'Pink Line')"
41.885737,-87.630886,"('Clark/Lake', 'Blue, Brown, Green, Orange, Purple & Pink lines')"
41.970634,-87.760892,"('Jefferson Park', 'Blue Line')"
41.932732,-87.653131,"('Diversey', 'Brown & Purple lines')"
41.961756,-87.675047,"('Montrose', 'Brown Line')"
41.875474,-87.649707,"('UIC-Halsted', 'Blue Line')"
41.831677,-87.625826,"('35-Bronzeville-IIT', 'Green Line')"
42.05416,-87.68356,"('Foster', 'Purple Line')"
41.878723,-87.63374,"('Quincy/Wells', 'Brown, Orange, Purple & Pink lines')"
41.943744,-87.663619,"('Southport', 'Brown Line')"
42.001073,-87.661061,"('Loyola', 'Red Line')"
41.810318,-87.63094,"('47th', 'Red Line')"
41.983504,-87.65884,"('Bryn Mawr', 'Red Line')"
41.87349,-87.806961,"('Harlem', 'Blue Line - Forest Park Branch')"
42.019063,-87.672892,"('Howard', 'Red, Purple & Yellow lines')"
41.884321,-87.706155,"('Kedzie', 'Green Line')"
41.78013,-87.615546,"('King Drive', 'Green Line')"
41.77886,-87.663766,"('Ashland/63rd', 'Green Line')"
41.722377,-87.624342,"('95th/Dan Ryan', 'Red Line')"
41.916157,-87.687364,"('Western', ""Blue Line - O'Hare Branch"")"
41.918217,-87.652644,"('Armitage', 'Brown & Purple lines')"
41.867368,-87.627402,"('Roosevelt', 'Red, Orange & Green lines')"
41.939751,-87.65338,"('Belmont', 'Red, Brown & Purple lines')"
41.85177331,-87.75669201,"('54th/Cermak', 'Pink Line')"
42.041655,-87.681602,"('Dempster', 'Purple Line')"
41.925051,-87.652866,"('Fullerton', 'Red, Brown & Purple lines')"
41.969139,-87.658493,"('Lawrence', 'Red Line')"
41.875706,-87.673932,"('Illinois Medical District', 'Blue Line')"
41.884809,-87.627813,"('Lake', 'Red Line')"
41.750419,-87.625112,"('79th', 'Red Line')"
41.887293,-87.774135,"('Austin', 'Green Line')"
41.875539,-87.640984,"('Clinton', 'Blue Line')"
41.936033,-87.653266,"('Wellington', 'Brown & Purple lines')"
41.886988,-87.793783,"('Oak Park', 'Green Line')"
41.896671,-87.628176,"('Chicago', 'Red Line')"
41.910409,-87.639302,"('Sedgwick', 'Brown & Purple lines')"
41.94738,-87.71906,"('Addison', 'Blue Line')"
41.878183,-87.629296,"('Jackson/Dearborn', 'Blue Line')"
41.853964,-87.705408,"('Kedzie', 'Pink Line')"
41.880703,-87.629378,"('Monroe', 'Blue Line')"
41.966115,-87.6941,"('Rockwell', 'Brown Line')"
41.854517,-87.675975,"('Damen', 'Pink Line')"
41.873797,-87.725663,"('Pulaski', 'Blue Line')"
41.886848,-87.803176,"('Harlem', 'Green Line')"
41.88322,-87.626189,"('Washington/Wabash', 'Brown, Green, Orange, Purple & Pink lines')"
41.88422,-87.696234,"('California', 'Green Line')"
42.008362,-87.665909,"('Morse', 'Red Line')"
41.804546,-87.684019,"('Western', 'Orange Line')"
41.891189,-87.647578,"('Grand/Milwaukee', 'Blue Line')"
41.903355,-87.666496,"('Division', 'Blue Line')"
41.799756,-87.724493,"('Pulaski', 'Orange Line')"
41.953775,-87.654929,"('Sheridan', 'Red Line')"
41.896075,-87.655214,"('Chicago', 'Blue Line')"
41.888969,-87.633924,"('Merchandise Mart', 'Brown & Purple lines')"
41.97766526,-87.90422307,"(""O'Hare"", 'Blue Line')"
41.816462,-87.619021,"('43rd', 'Green Line')"
41.831191,-87.630636,"('Sox-35th', 'Red Line')"
41.929728,-87.708541,"('Logan Square', 'Blue Line')"
41.909744,-87.677437,"('Damen/Milwaukee', 'Blue Line')"
41.885269,-87.666969,"('Ashland', 'Green & Pink lines')"
41.952925,-87.729229,"('Irving Park', 'Blue Line')"
41.964273,-87.657588,"('Wilson', 'Red & Purple lines')"
41.853206,-87.630968,"('Cermak-Chinatown', 'Red Line')"
41.875568,-87.631722,"('LaSalle', 'Blue Line')"
41.990259,-87.659076,"('Thorndale', 'Red Line')"
41.993664,-87.659202,"('Granville', 'Red Line')"
41.947428,-87.653626,"('Addison', 'Red Line')"
41.887389,-87.76565,"('Central', 'Green Line')"
41.884904,-87.716523,"('Conservatory', 'Green Line')"
42.058282,-87.683337,"('Noyes', 'Purple Line')"
41.809209,-87.618826,"('47th', 'Green Line')"
42.015876,-87.669092,"('Jarvis', 'Red Line')"
41.84678,-87.648088,"('Halsted', 'Orange Line')"
42.04771,-87.683543,"('Davis', 'Purple Line')"
41.89681,-87.635924,"('Chicago', 'Brown & Purple lines')"
41.880745,-87.627696,"('Monroe', 'Red Line')"
41.965996,-87.708821,"('Kedzie', 'Brown Line')"
41.80209,-87.618487,"('51st', 'Green Line')"
41.795172,-87.618327,"('Garfield', 'Green Line')"
41.839234,-87.665317,"('Ashland', 'Orange Line')"
41.891665,-87.628021,"('Grand/State', 'Red Line')"
41.853115,-87.626402,"('Cermak-McCormick Place', 'Green Line')"
41.871551,-87.66953,"('Polk', 'Pink Line')"
41.966286,-87.678639,"('Damen', 'Brown Line')"
41.853732,-87.724311,"('Pulaski', 'Pink Line')"
41.829353,-87.680622,"('35th/Archer', 'Orange Line')"
42.027612,-87.678329,"('South Blvd', 'Purple Line')"
42.033456,-87.679538,"('Main', 'Purple Line')"
41.878153,-87.627596,"('Jackson/State', 'Red Line')"
41.973453,-87.65853,"('Argyle', 'Red Line')"
41.876862,-87.628196,"('H.W. Library', 'Brown, Orange, Purple & Pink lines')"
41.870851,-87.776812,"('Austin', 'Blue Line')"
41.883164,-87.62944,"('Washington', 'Blue Line')"
41.874341,-87.70604,"('Kedzie-Homan', 'Blue Line')"
41.780536,-87.630952,"('63rd', 'Red Line')"
41.804236,-87.704406,"('Kedzie', 'Orange Line')"
41.887163,-87.754986,"('Laramie', 'Green Line')"
41.735372,-87.624717,"('87th', 'Red Line')"
41.875478,-87.688436,"('Western', 'Blue Line - Forest Park Branch')"
41.966163,-87.688502,"('Western', 'Brown Line')"
41.921939,-87.69689,"('California', 'Blue Line')"
41.874257,-87.817318,"('Forest Park', 'Blue Line')"
41.983507,-87.859388,"('Rosemont', 'Blue Line')"
41.879507,-87.626037,"('Adams/Wabash', 'Brown, Green, Orange, Pink & Purple lines')"
41.977984,-87.658668,"('Berwyn', 'Red Line')"
41.98227,-87.8089,"('Harlem', ""Blue Line - O'Hare Branch"")"
41.938132,-87.712359,"('Belmont', 'Blue Line')"
41.90392,-87.631412,"('Clark/Division', 'Red Line')"
41.821732,-87.621371,"('Indiana', 'Green Line')"
41.853751,-87.733258,"('Kostner', 'Pink Line')"
42.038951,-87.751919,"('Dempster-Skokie', 'Yellow Line')"
41.885586,-87.652193,"('Morgan', 'Green & Pink lines')"
41.871574,-87.745154,"('Cicero', 'Blue Line')"
42.02624348,-87.74722084,"('Oakton-Skokie', 'Yellow Line')"
41.780309,-87.605857,"('Cottage Grove', 'Green Line')"
41.78661,-87.737875,"('Midway', 'Orange Line')"
42.063987,-87.685617,"('Central', 'Purple Line')"
41.885412,-87.725404,"('Pulaski', 'Green Line')"
41.887159,-87.783661,"('Ridgeland', 'Green Line')"
42.073153,-87.69073,"('Linden', 'Purple Line')"
41.79542,-87.631157,"('Garfield', 'Red Line')"
41.910655,-87.649177,"('North/Clybourn', 'Red Line')"
41.872108,-87.791602,"('Oak Park', 'Blue Line')"
41.954521,-87.674868,"('Irving Park', 'Brown Line')"
41.867405,-87.62659,"('Roosevelt', 'Red, Orange & Green lines')"
41.966046,-87.701644,"('Francisco', 'Brown Line')"
41.8768,-87.631739,"('LaSalle/Van Buren', 'Brown, Orange, Purple & Pink lines')"
41.854109,-87.694774,"('California', 'Pink Line')"
41.854225,-87.685129,"('Western', 'Pink Line')"
41.768367,-87.625724,"('69th', 'Red Line')"
41.882695,-87.63378,"('Washington/Wells', 'Brown, Orange, Purple & Pink lines')"
41.874039,-87.627479,"('Harrison', 'Red Line')"
41.885678,-87.641782,"('Clinton', 'Green & Pink lines')"
41.967901,-87.713065,"('Kimball', 'Brown Line')"
41.947028,-87.674642,"('Addison', 'Brown Line')"
41.88574,-87.627835,"('State/Lake', 'Brown, Green, Orange, Pink & Purple lines')"
41.886519,-87.744698,"('Cicero', 'Green Line')"
41.961539,-87.743574,"('Montrose', 'Blue Line')"
41.88497405,-87.67689149,"('Damen', 'Green Line')"
